Model,Run,Setting,Acc_mean,Acc_std,F1_mean,F1_std,AUROC_mean
EfficientNetV2-S,FL_Run1_Uniform,centralized,0.9224913494809689,0.014615025662244218,0.9143744868743788,0.018809701344771383,0.9794324378344713
EfficientNetV2-S,FL_Run1_Uniform,fl,0.9155709342560554,0.019889422648027573,0.9068429825605794,0.02290122693313838,0.9894001857270315
EfficientNetV2-S,FL_Run2_Heterogeneous,centralized,0.9141868512110726,0.022253197495935684,0.9022447120746231,0.026891358057116437,0.9785406775541716
EfficientNetV2-S,FL_Run2_Heterogeneous,fl,0.9141868512110726,0.010586199682199567,0.9052828598624684,0.01096597290391131,0.9891716072835661
MobileNetV2,FL_Run1_Uniform,centralized,0.9079584775086506,0.020009456463392358,0.898002586870124,0.022602437923162647,0.9788070030740315
MobileNetV2,FL_Run1_Uniform,fl,0.9079584775086506,0.014939123283683674,0.8982103773125385,0.016633871157839014,0.985169672922602
MobileNetV2,FL_Run2_Heterogeneous,centralized,0.898961937716263,0.00801095979431851,0.889027185457979,0.009151685518519224,0.9836193183310451
MobileNetV2,FL_Run2_Heterogeneous,fl,0.9003460207612457,0.0055363321799308,0.8914918906404232,0.004490938622356762,0.9845312649597462
ConvNeXtV2-Tiny,FL_Run1_Uniform,centralized,0.9155709342560554,0.013944250297307878,0.906393931356012,0.019143638996054087,0.9769955339344996
ConvNeXtV2-Tiny,FL_Run1_Uniform,fl,0.9301038062283737,0.010357529098336163,0.9217128708163767,0.012881142140707636,0.9880961044688016
ConvNeXtV2-Tiny,FL_Run2_Heterogeneous,centralized,0.9100346020761245,0.01920337290728252,0.9004745270014485,0.024933403237101952,0.9752757057773055
ConvNeXtV2-Tiny,FL_Run2_Heterogeneous,fl,0.9183391003460208,0.017859498824309972,0.9084809685458183,0.02129597475475707,0.9878778350574476
ResNet50,FL_Run1_Uniform,centralized,0.9121107266435986,0.011286855661107329,0.903590894912344,0.013362506207022768,0.9810488352677993
ResNet50,FL_Run1_Uniform,fl,0.9100346020761245,0.014680417602488897,0.9021485421566708,0.01760936775465517,0.9837687413662912
ResNet50,FL_Run2_Heterogeneous,centralized,0.9051903114186851,0.028246825788177932,0.8942213418461469,0.03180324959697258,0.976425948667317
ResNet50,FL_Run2_Heterogeneous,fl,0.9148788927335639,0.012685330643476402,0.9075647085697491,0.016001584535809132,0.9861230718550973
