Setting,Class,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
Run1 Centralized,Chickenpox,0.8027013807984227,0.014519033000408804,0.8857142857142858,0.08702698515474792,0.8397029265818864,0.035589623104650796
Run1 Centralized,Healthy,0.9739526667186242,0.018623232805198245,0.95,0.024402113392003957,0.9614159843329594,0.0095974887466155
Run1 Centralized,Measles,0.9542745395185627,0.022089802927352426,0.9227272727272728,0.03082877265056941,0.9375128275972656,0.006758936144718004
Run1 Centralized,Monkeypox,0.9189324385170851,0.017122555187851437,0.9117117117117116,0.018374845094028043,0.9149935684226292,0.00522770507367245
Run1 FL (FedProx),Chickenpox,0.8285438411247845,0.06352321053516381,0.8904761904761905,0.09233675918888244,0.8548700482950548,0.058152501835225995
Run1 FL (FedProx),Healthy,0.9800960516983966,0.004520895105512753,0.9652173913043477,0.014420107784153894,0.9725689119846471,0.009288252402323355
Run1 FL (FedProx),Measles,0.9672907832068354,0.010448323077875838,0.9318181818181819,0.024896479886598478,0.9489324367466277,0.009832935213256287
Run1 FL (FedProx),Monkeypox,0.9260587056268417,0.03811754400450148,0.9207207207207209,0.03796631983009995,0.9224015031542214,0.024353978787562357
Run2 Centralized,Chickenpox,0.8208225108225108,0.04185240548798047,0.8523809523809524,0.08024904545882244,0.8331680520355951,0.03972606796003681
Run2 Centralized,Healthy,0.9696640453547474,0.0288419350435429,0.9369565217391305,0.015974933105107704,0.9526226739618512,0.012182997507432649
Run2 Centralized,Measles,0.9356339057362074,0.042902093253127875,0.9272727272727274,0.044069816885603005,0.9294049076178819,0.002325921732921272
Run2 Centralized,Monkeypox,0.9208372428059548,0.026677467572610487,0.9315315315315316,0.021012439260703786,0.9257808541648668,0.01571754121141053
Run2 FL (FedProx),Chickenpox,0.7651336898395723,0.05699258194773378,0.8714285714285713,0.10921280896361633,0.8093426550862631,0.05738631487735945
Run2 FL (FedProx),Healthy,0.9867643467643468,0.012849110496743194,0.9652173913043478,0.008134037797334645,0.975847797403816,0.009502910717001585
Run2 FL (FedProx),Measles,0.9426480878562286,0.021171479948842612,0.9590909090909092,0.0222680885707562,0.9504418378706333,0.011511060524933604
Run2 FL (FedProx),Monkeypox,0.9301813720260323,0.033593909681663724,0.8864864864864865,0.03889555521607732,0.9067894480382612,0.02119995960490814
