fold,severity,defense,accuracy,macro_f1
Fold_1,0.0,fedavg_mu0,0.972318339100346,0.9692747394994586
Fold_1,0.0,fedprox,0.9480968858131488,0.9417763072570198
Fold_1,0.0,fedprox_trimmed,0.9584775086505191,0.955186145711296
Fold_1,0.2,fedavg_mu0,0.9411764705882353,0.9354647895704835
Fold_1,0.2,fedprox,0.9584775086505191,0.9528821193012864
Fold_1,0.2,fedprox_trimmed,0.9411764705882353,0.9369013758664597
Fold_1,0.4,fedavg_mu0,0.9480968858131488,0.9410039039294662
Fold_1,0.4,fedprox,0.9446366782006921,0.9401435535521518
Fold_1,0.4,fedprox_trimmed,0.9377162629757786,0.9324441753932106
Fold_1,0.6,fedavg_mu0,0.9411764705882353,0.9371770540045083
Fold_1,0.6,fedprox,0.9480968858131488,0.9405972577484205
Fold_1,0.6,fedprox_trimmed,0.9446366782006921,0.9365830264057923
Fold_2,0.0,fedavg_mu0,0.9342560553633218,0.9255800782305822
Fold_2,0.0,fedprox,0.9342560553633218,0.9304991533548086
Fold_2,0.0,fedprox_trimmed,0.916955017301038,0.9110229605021887
Fold_2,0.2,fedavg_mu0,0.9446366782006921,0.936100216385783
Fold_2,0.2,fedprox,0.916955017301038,0.9095780053179292
Fold_2,0.2,fedprox_trimmed,0.9307958477508651,0.925363188676505
Fold_2,0.4,fedavg_mu0,0.903114186851211,0.8945745067117549
Fold_2,0.4,fedprox,0.9204152249134948,0.9139123674309253
Fold_2,0.4,fedprox_trimmed,0.9134948096885813,0.902549952664071
Fold_2,0.6,fedavg_mu0,0.9377162629757786,0.9291833959768394
Fold_2,0.6,fedprox,0.916955017301038,0.9073683804090502
Fold_2,0.6,fedprox_trimmed,0.8961937716262975,0.8870581799153228
Fold_3,0.0,fedavg_mu0,0.9204152249134948,0.9099735660688398
Fold_3,0.0,fedprox,0.8996539792387543,0.8900399223416682
Fold_3,0.0,fedprox_trimmed,0.9100346020761245,0.8998157104221085
Fold_3,0.2,fedavg_mu0,0.916955017301038,0.905364913200697
Fold_3,0.2,fedprox,0.9307958477508651,0.924382711618144
Fold_3,0.2,fedprox_trimmed,0.9065743944636678,0.893314115303319
Fold_3,0.4,fedavg_mu0,0.9238754325259516,0.9108128752565142
Fold_3,0.4,fedprox,0.9307958477508651,0.9210031039609409
Fold_3,0.4,fedprox_trimmed,0.9100346020761245,0.9007661938141213
Fold_3,0.6,fedavg_mu0,0.9273356401384083,0.9162437234627555
Fold_3,0.6,fedprox,0.916955017301038,0.9050703596346781
Fold_3,0.6,fedprox_trimmed,0.9100346020761245,0.8989468671998977
Fold_4,0.0,fedavg_mu0,0.9100346020761245,0.9012589880593049
Fold_4,0.0,fedprox,0.9100346020761245,0.9044423108044456
Fold_4,0.0,fedprox_trimmed,0.916955017301038,0.9114679351981262
Fold_4,0.2,fedavg_mu0,0.9134948096885813,0.9085725699551488
Fold_4,0.2,fedprox,0.916955017301038,0.9066760562742431
Fold_4,0.2,fedprox_trimmed,0.9134948096885813,0.9080986402606667
Fold_4,0.4,fedavg_mu0,0.9134948096885813,0.9063366220342964
Fold_4,0.4,fedprox,0.9204152249134948,0.914769254288675
Fold_4,0.4,fedprox_trimmed,0.9065743944636678,0.9062102502738707
Fold_4,0.6,fedavg_mu0,0.9134948096885813,0.9060060105640216
Fold_4,0.6,fedprox,0.9204152249134948,0.9128820885203082
Fold_4,0.6,fedprox_trimmed,0.9134948096885813,0.9067102262523169
Fold_5,0.0,fedavg_mu0,0.916955017301038,0.9060626143384765
Fold_5,0.0,fedprox,0.903114186851211,0.8858957511510855
Fold_5,0.0,fedprox_trimmed,0.916955017301038,0.9023019495212041
Fold_5,0.2,fedavg_mu0,0.916955017301038,0.903901919577239
Fold_5,0.2,fedprox,0.916955017301038,0.9063932652388302
Fold_5,0.2,fedprox_trimmed,0.9100346020761245,0.8969933855145202
Fold_5,0.4,fedavg_mu0,0.9134948096885813,0.8965361940690889
Fold_5,0.4,fedprox,0.8961937716262975,0.880065693181582
Fold_5,0.4,fedprox_trimmed,0.8996539792387543,0.8844405068187853
Fold_5,0.6,fedavg_mu0,0.9134948096885813,0.8994675280859492
Fold_5,0.6,fedprox,0.9065743944636678,0.8856113269175581
Fold_5,0.6,fedprox_trimmed,0.9065743944636678,0.8914662540524609
